init_angle,init_speed,X,Y,time
,,250.3158005,188.7375005,3.54
,,251.0229073,189.0967073,3.55
,,251.7300141,189.4549341,3.56
,,252.4371209,189.8121809,3.57
,,253.1442277,190.1684477,3.58
,,253.8513344,190.5237344,3.59
,,254.5584412,190.8780412,3.6
,,255.265548,191.231368,3.61
,,255.9726548,191.5837148,3.62
,,256.6797616,191.9350816,3.63
,,257.3868684,192.2854684,3.64
,,258.0939751,192.6348751,3.65
,,258.8010819,192.9833019,3.66
,,259.5081887,193.3307487,3.67
,,260.2152955,193.6772155,3.68
,,260.9224023,194.0227023,3.69
,,261.629509,194.367209,3.7
,,262.3366158,194.7107358,3.71
,,263.0437226,195.0532826,3.72
,,263.7508294,195.3948494,3.73
,,264.4579362,195.7354362,3.74
,,265.1650429,196.0750429,3.75
,,265.8721497,196.4136697,3.76
,,266.5792565,196.7513165,3.77
,,267.2863633,197.0879833,3.78
,,267.9934701,197.4236701,3.79
,,268.7005769,197.7583769,3.8
,,269.4076836,198.0921036,3.81
,,270.1147904,198.4248504,3.82
,,270.8218972,198.7566172,3.83
,,271.529004,199.087404,3.84
,,272.2361108,199.4172108,3.85
,,272.9432175,199.7460375,3.86
,,273.6503243,200.0738843,3.87
,,274.3574311,200.4007511,3.88
,,275.0645379,200.7266379,3.89
,,275.7716447,201.0515447,3.9
,,276.4787514,201.3754714,3.91
,,277.1858582,201.6984182,3.92
,,277.892965,202.020385,3.93
,,278.6000718,202.3413718,3.94
,,279.3071786,202.6613786,3.95
,,280.0142853,202.9804053,3.96
,,280.7213921,203.2984521,3.97
,,281.4284989,203.6155189,3.98
,,282.1356057,203.9316057,3.99
,,282.8427125,204.2467125,4
,,283.5498193,204.5608393,4.01
,,284.256926,204.873986,4.02
,,284.9640328,205.1861528,4.03
,,285.6711396,205.4973396,4.04
,,286.3782464,205.8075464,4.05
,,287.0853532,206.1167732,4.06
,,287.7924599,206.4250199,4.07
,,288.4995667,206.7322867,4.08
